crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
AUTO THEFT,121700283,06182012,1337 DOUGLAS ST SW,104,Mozley Park,K,33.75172,-84.43126
BURGLARY-RESIDENCE,121701350,06182012,2004 RUTH ST NW,110,Grove Park,J,33.78518,-84.4535
BURGLARY-RESIDENCE,121701356,06182012,106 BRADLEY ST NE,604,Old Fourth Ward,M,33.75719,-84.36911
AGG ASSAULT,121701905,06182012,850 OAK ST SW,401,West End,T,33.74057,-84.4168
LARCENY-FROM VEHICLE,121701908,06182012,1018 KATHERWOOD DR SW,306,Sylvan Hills,X,33.71024,-84.42147
LARCENY-NON VEHICLE,121691786,06172012,1238 DEKALB AVE NE,608,Candler Park,N,33.76105,-84.34751
AUTO THEFT,121691801,06172012,236 MAYSON AVE NE,609,Edgewood,O,33.76017,-84.33869
AUTO THEFT,121690380,06172012,3630 RAMSEY CLOSE SW,414,Princeton Lakes,P,33.66327,-84.51483
AUTO THEFT,121690447,06172012,1061 LEE ST SW,402,Oakland City,S,33.7258,-84.41957
LARCENY-FROM VEHICLE,121691211,06172012,2074 BLAYTON CIR NW,108,Penelope Neighbors,J,33.75153,-84.45263
BURGLARY-NONRES,121691226,06172012,690 HOLDERNESS ST SW,402,West End,T,33.73634,-84.42749
AUTO THEFT,121680382,06162012,445 MARKHAM ST SW,507,Castleberry Hill,M,33.75274,-84.40069
AUTO THEFT,121680385,06162012,300 SPRING ST NW,508,Downtown,M,33.76273,-84.38912
AUTO THEFT,121681457,06162012,2400 LAUREL CIR NW,111,Westhaven,I,33.7558,-84.47095
LARCENY-FROM VEHICLE,121681460,06162012,3755 CARMIA DR SW,414,Princeton Lakes,P,33.65558,-84.50708
LARCENY-FROM VEHICLE,121681904,06162012,1280 PEACHTREE ST NE,502,Midtown,E,33.78934,-84.38535
LARCENY-NON VEHICLE,121681990,06162012,2020 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.81022,-84.41347
ROBBERY-PEDESTRIAN,121672589,06152012,3725 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65945,-84.50698
BURGLARY-RESIDENCE,121672629,06152012,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77689,-84.40807
BURGLARY-NONRES,121670817,06152012,300 CITYLINE AVE NE,603,Old Fourth Ward,M,33.77005,-84.37915
LARCENY-NON VEHICLE,121670851,06152012,1479 BELMONT AVE SW,301,Capitol View,X,33.71446,-84.41016
AUTO THEFT,121671702,06152012,3600 PIEDMONT RD NE,208,Buckhead Forest,B,33.85211,-84.38044
LARCENY-FROM VEHICLE,121671712,06152012,1888 CHESHIRE BRIDGE RD NE,212,Morningside/Lenox Park,F,33.81038,-84.36122
BURGLARY-RESIDENCE,121660259,06142012,652 GAYLES CT SE,313,South River Gardens,Z,33.67178,-84.36687
BURGLARY-RESIDENCE,121660265,06142012,1459 OAKLAND DR SW,403,Oakland City,S,33.71548,-84.4276
BURGLARY-RESIDENCE,121661193,06142012,2980 JONESBORO RD SE,313,South River Gardens,Z,33.67339,-84.37144
BURGLARY-NONRES,121661203,06142012,634 FRASER ST SE,304,Summerhill,V,33.73731,-84.38615
LARCENY-NON VEHICLE,121662267,06142012,1670 ORLANDO ST SW,403,Cascade Avenue/Road,S,33.72746,-84.44276
AUTO THEFT,121662295,06142012,688 BRYAN ST SE,606,Grant Park,W,33.74442,-84.36496
LARCENY-NON VEHICLE,121652285,06132012,2031 NORTH AVE NW,107,Grove Park,J,33.7689,-84.45449
LARCENY-NON VEHICLE,121652332,06132012,2524 MARTIN LUTHER KING JR DR,405,Harland Terrace,I,33.75285,-84.47033
AUTO THEFT,121650907,06132012,1371 KIMBERLY WAY,412,Ashley Courts,P,33.71771,-84.52315
LARCENY-NON VEHICLE,121650909,06132012,2156 PERKERSON RD SW,309,Perkerson,X,33.69513,-84.41134
BURGLARY-RESIDENCE,121651847,06132012,373 LEGACY DR SW,104,Harris Chiles,T,33.74382,-84.41944
BURGLARY-RESIDENCE,121651859,06132012,47 25TH ST NW,207,Brookwood,E,33.80125,-84.39502
LARCENY-NON VEHICLE,121640784,06122012,679 S ELIZABETH PL NW,107,Grove Park,J,33.7735,-84.44744
BURGLARY-RESIDENCE,121640787,06122012,928 LINDBERGH DR NE,212,Lindridge/Martin Manor,F,33.82067,-84.35713
BURGLARY-RESIDENCE,121641464,06122012,952 VIOLET ST SE,304,Peoplestown,V,33.72845,-84.38392
LARCENY-FROM VEHICLE,121641472,06122012,1700 PIEDMONT AVE NE,213,Piedmont Heights,F,33.80227,-84.36827
BURGLARY-RESIDENCE,121642457,06122012,390 W LAKE AVE NW,107,Grove Park,J,33.76561,-84.44109
LARCENY-NON VEHICLE,121642481,06122012,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
BURGLARY-NONRES,121630527,06112012,536 EDGEWOOD AVE NE,604,Old Fourth Ward,M,33.75459,-84.37005
LARCENY-NON VEHICLE,121630529,06112012,380 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70615,-84.35743
ROBBERY-PEDESTRIAN,121632203,06112012,LINDBERGH/PIEDMONT,211,Lindbergh/Morosgo,B,33.82144,-84.36746
AGG ASSAULT,121632218,06112012,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
ROBBERY-PEDESTRIAN,121630929,06112012,263 WALKER ST SW,507,Castleberry Hill,M,33.74745,-84.40311
LARCENY-NON VEHICLE,121630977,06112012,288 14TH ST NW,501,Home Park,E,33.78594,-84.39618
BURGLARY-RESIDENCE,121631461,06112012,648 PEEPLES ST SW,401,West End,T,33.73731,-84.42022
AUTO THEFT,121632462,06112012,755 HANK AARON DR SW @TURNER FIELD,304,Summerhill,V,33.73624,-84.389
