crime,number,date,location,beat,neighbourhood,npu,latitude,longitude
LARCENY-NON VEHICLE,90281589,01282009,1249 DONALD LEE HOLLOWELL PKWY NW,106,,J,33.77197,-84.42859
LARCENY-NON VEHICLE,90271483,01272009,1001 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.7734,-84.35467
AGG ASSAULT,90270097,01272009,412 JAMES P BRAWLEY DR NW,103,English Avenue,L,33.7658,-84.41269
LARCENY-NON VEHICLE,90270611,01272009,80 JESSIE HILL JR. DR.,510,Downtown,M,33.75168,-84.38198
LARCENY-FROM VEHICLE,90260140,01262009,1401 DONALD LEE HOLLOWELL PKWY NW,106,,J,33.77315,-84.433
BURGLARY-NONRES,90260625,01262009,1270 W PEACHTREE ST NW,502,Midtown,E,33.78937,-84.3882
LARCENY-NON VEHICLE,90261056,01262009,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79293,-84.3975
AGG ASSAULT,90261648,01262009,2865 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.78092,-84.48168
AGG ASSAULT,90262028,01262009,253 AUBURN AVE NE,510,Downtown,M,33.75544,-84.37931
LARCENY-NON VEHICLE,90251198,01252009,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
AUTO THEFT,90250387,01252009,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-NON VEHICLE,90260797,01252009,65 ALABAMA ST.,511,Downtown,M,33.75258,-84.38992
AUTO THEFT,90240728,01242009,1058 NORTHSIDE DR NW,501,Home Park,E,33.78366,-84.40757
AUTO THEFT,90241432,01242009,209 14TH ST NE,503,Midtown,E,33.78639,-84.37997
LARCENY-NON VEHICLE,90200889,01242009,3393 PEACHTREE RD.,210,Lenox,B,33.84676,-84.36212
LARCENY-FROM VEHICLE,90230617,01232009,1537 HOWELL MILL RD NW,207,Berkeley Park,D,33.79735,-84.41604
BURGLARY-RESIDENCE,90231076,01232009,1316 PLAZA AVE SW,402,Bush Mountain,S,33.72805,-84.43069
LARCENY-NON VEHICLE,90231714,01232009,345 BOULEVARD NE,604,Old Fourth Ward,M,33.76101,-84.37345
AGG ASSAULT,90221697,01222009,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755
LARCENY-FROM VEHICLE,90220038,01222009,755 HANK AARON DR SW,304,Summerhill,V,33.73624,-84.389
AUTO THEFT,90220831,01222009,597 WILLARD AVE SW,404,Westview,T,33.7391,-84.43743
BURGLARY-RESIDENCE,90211208,01212009,2995 HUMPHRIES DR SE,312,Orchard Knob,Z,33.67344,-84.37761
LARCENY-FROM VEHICLE,90211917,01212009,W PEACHTREE ST NE / SIMPSON ST NW,508,Downtown,M,33.76331,-84.38754
LARCENY-FROM VEHICLE,90210725,01212009,602 N HIGHLAND AVE NE,602,Poncey-Highland,N,33.77082,-84.35274
ROBBERY-PEDESTRIAN,90212055,01212009,1080 HOOD ST,306,Sylvan Hills,X,33.71249,-84.42358
LARCENY-FROM VEHICLE,90201567,01202009,1089 NORTH HIGHLAND AVE.,602,Poncey-Highland,N,33.77107,-84.35252
BURGLARY-NONRES,90200066,01202009,4511 CAMPBELLTON RD SW;,412,,P,33.69625,-84.53567
BURGLARY-NONRES,90200831,01202009,3180 PEACHTREE RD NE,208,Buckhead Forest,B,33.84183,-84.3759
BURGLARY-RESIDENCE,90191209,01192009,152 MURRAY HILL AVE NE,610,Kirkwood,O,33.7566,-84.31614
AUTO THEFT,90190425,01192009,2645 WHITING ST NW,109,Center Hill,J,33.77959,-84.47394
BURGLARY-RESIDENCE,90190036,01192009,1868 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.703,-84.38006
ROBBERY-PEDESTRIAN,90180396,01182009,215 PEACHTREE ST NE,509,Downtown,M,33.75992,-84.38715
LARCENY-FROM VEHICLE,90180820,01182009,144 MURRAY HILL AVE NE,610,Kirkwood,O,33.75626,-84.31594
AUTO THEFT,90181255,01182009,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
LARCENY-NON VEHICLE,90178047,01172009,PRECINCT @6000 N TERMINAL PKWY,50,,,33.64184,-84.4477
BURGLARY-NONRES,90170747,01172009,203 FARRINGTON AVE SE,304,Peoplestown,V,33.72675,-84.38132
LARCENY-NON VEHICLE,90171108,01172009,3500 PEACHTREE RD NE ;BLOOMINGDALES,208,North Buckhead,B,33.85302,-84.36278
LARCENY-FROM VEHICLE,90160152,01162009,3011 CAMPBELLTON RD SW,409,Southwest,R,33.69638,-84.48726
LARCENY-FROM VEHICLE,90160873,01162009,791 CASPLAN ST SW,306,Sylvan Hills,X,33.70817,-84.41352
LARCENY-FROM VEHICLE,90161599,01162009,1006 GREENWOOD AVE NE;,601,Virginia Highland,F,33.77679,-84.35425
